ID,NAME,MODEL,COLORWAY,STYLE,SIZE,PRICE,SELLER RETURN,DATE IN,LOCATION,CONDITION
3476317,Air Jordan 11 Low Golf 'Metallic Gold',Air Jordan 11 Low Golf 'Metallic Gold',White/Metallic Gold,AQ0963 102,14,$450.00,$371.25,09/08/2019,NY,New
3476316,Air Jordan 11 Low Golf 'Metallic Gold',Air Jordan 11 Low Golf 'Metallic Gold',White/Metallic Gold,AQ0963 102,12.5,$600.00,$495.00,09/08/2019,NY,New
3476314,Air Jordan 11 Low Golf 'Metallic Gold',Air Jordan 11 Low Golf 'Metallic Gold',White/Metallic Gold,AQ0963 102,10.5,$375.00,$309.38,09/08/2019,NY,New
3476300,wmns air jordan 4 retro nrg ,wmns air jordan 4 retro nrg ,fire red/summit white-black,av3914 600,w12,$230.00,$189.75,09/08/2019,NY,New
3476301,wmns air jordan 4 retro nrg ,wmns air jordan 4 retro nrg ,fire red/summit white-black,av3914 600,w12,$230.00,$189.75,09/08/2019,NY,New
3476315,Air Jordan 11 Low Golf 'Metallic Gold',Air Jordan 11 Low Golf 'Metallic Gold',White/Metallic Gold,AQ0963 102,11,$305.00,$251.62,09/08/2019,NY,New
3476299,wmns air jordan 4 retro nrg ,wmns air jordan 4 retro nrg ,fire red/summit white-black,av3914 600,w12,$230.00,$189.75,09/08/2019,NY,New
3476297,NiceKicks x UltraBoost Consortium,NiceKicks x UltraBoost Consortium,Multicolor/White/Gum,EF7775,8.5,$500.00,$412.50,09/08/2019,NY,New
3454176,yeezy 500,yeezy 500,bonwht/bonwht/bonwht,fv3573,6.5,$440.00,$363.00,08/30/2019,NY,New
3255732,air jordan 11 retro,air jordan 11 retro,white/black-concord,378037 100,16,$350.00,$288.75,06/23/2019,FW,New
3368366,Air Jordan 1 Mid SE 'Rivals',Air Jordan 1 Mid SE 'Rivals',Field Purple/White-Gym Red,852542 005,8,$140.00,$115.50,08/03/2019,In Transit,New
3368283,yeezy boost 350 v2,yeezy boost 350 v2,clay/clay/clay,eg7490,4,$390.00,$321.75,08/03/2019,NY,New
