Item,"Sku Name","Sku Size",Style,"Order Number",Price,"Price Currency","Final Payout Amount","Final Payout Currency","Payout Method","Sale Date",Status
"Palace Pal Ice","Palace Pal Ice T-Shirt (SS19) Black",S,N/A,6857799-6757558,88,USD,77.8800,USD,ACH,"2019-07-30 15:39:54","Sale Complete"
"Palace Pal Ice","Palace Pal Ice T-Shirt (SS19) Black",S,N/A,6847090-6746849,88,USD,77.8800,USD,ACH,"2019-07-29 21:33:53","Sale Complete"
"Palace Pal Ice","Palace Pal Ice T-Shirt (SS19) Black",M,N/A,6734806-6634565,85,USD,75.2250,USD,ACH,"2019-07-22 06:50:05","Sale Complete"
"Palace Pal Ice","Palace Pal Ice T-Shirt (SS19) Black",L,N/A,6664907-6564666,79,USD,69.9150,USD,ACH,"2019-07-17 18:22:32","Sale Complete"
"Palace Pal Ice","Palace Pal Ice T-Shirt (SS19) Black",M,N/A,6621573-6521332,85,USD,75.2250,USD,ACH,"2019-07-14 21:51:59","Sale Complete"
"Supreme Nike Swoosh","Supreme Nike Swoosh Sweater White",S,N/A,6511993-6411752,290,USD,256.6500,USD,ACH,"2019-07-06 13:31:26","Sale Complete"
"Supreme Utility","Supreme Utility Pouch Red",N/A,N/A,6418749-6318508,57,USD,50.2900,USD,ACH,"2019-06-29 17:21:36","Sale Complete"
"Supreme Frette","Supreme Frette Slippers Red",8-10,N/A,6405037-6304796,90,USD,79.6500,USD,ACH,"2019-06-28 21:35:54","Sale Complete"
"Supreme Patchwork Tie Dye","Supreme Patchwork Tie Dye Hooded Sweatshirt Tie Dye",M,N/A,5982038-5881797,290,USD,256.6500,USD,ACH,"2019-06-01 06:04:01","Sale Complete"
"Kith x Coca-Cola Cubed Beach","Kith x Coca-Cola Cubed Beach Towel Red",N/A,N/A,5883323-5783082,90,USD,79.6500,USD,ACH,"2019-05-25 00:47:55","Sale Complete"
"Supreme Leda and the Swan","Supreme Leda and the Swan Tee White",XL,N/A,5575310-5475069,60,USD,53.1000,USD,ACH,"2019-05-03 18:42:14","Sale Complete"
"Nike Zoom Pegasus 35 Turbo","Nike Zoom Pegasus 35 Turbo Gyakusou Gold Dart",8,BQ0579-700,5120240-5019999,165,USD,146.0250,USD,ACH,"2019-04-02 15:44:38","Sale Complete"
"Supreme Le Luxe Hooded","Supreme Le Luxe Hooded Sweatshirt Natural",XL,N/A,4952673-4852432,230,USD,203.5500,USD,ACH,"2019-03-22 15:42:53","Sale Complete"
"Nike Zoom Pegasus 35 Turbo","Nike Zoom Pegasus 35 Turbo Gyakusou Gold Dart",9,BQ0579-700,4919196-4818955,185,USD,163.7250,USD,ACH,"2019-03-20 10:01:45","Sale Complete"
"Supreme Warm Up","Supreme Warm Up Pant (SS18) Black",L,N/A,4877311-4777070,190,USD,168.1500,USD,ACH,"2019-03-17 05:59:34","Sale Complete"
"Supreme Middle Finger to the World","Supreme Middle Finger to the World Tee White",XL,N/A,4829095-4728854,50,USD,43.5000,USD,ACH,"2019-03-13 22:05:26","Sale Complete"
"Supreme Creeper","Supreme Creeper Tee White",XL,N/A,4724837-4624596,80,USD,70.8000,USD,ACH,"2019-03-06 15:48:17","Sale Complete"
"Supreme The North Face Metallic Roo II Lumbar","Supreme The North Face Metallic Roo II Lumbar Pack Gold",N/A,N/A,4695044-4594803,130,USD,115.0500,USD,ACH,"2019-03-04 15:53:46","Sale Complete"
"BAPE x adidas adicolor Track","BAPE x adidas adicolor Track Pants Olive Cargo",S,N/A,4618426-4518185,300,USD,265.5000,USD,ACH,"2019-02-27 19:11:53","Sale Complete"
"Supreme Bonded Logo Down","Supreme Bonded Logo Down Jacket Black",L,N/A,4592237-4491996,420,USD,371.7000,USD,ACH,"2019-02-26 08:01:20","Sale Complete"
"Supreme Formula","Supreme Formula Crewneck Natural",L,N/A,4576396-4476155,320,USD,283.2000,USD,ACH,"2019-02-25 16:18:54","Sale Complete"
"Supreme King of New York","Supreme King of New York Tee White",XL,N/A,4575129-4474888,78,USD,69.0300,USD,ACH,"2019-02-25 15:37:00","Sale Complete"
"Supreme Duffle","Supreme Duffle Bag (SS19) Black",N/A,N/A,4569572-4469331,195,USD,172.5750,USD,ACH,"2019-02-25 03:06:47","Sale Complete"
"Supreme Formula","Supreme Formula Crewneck Navy",L,N/A,4552219-4451978,215,USD,190.2750,USD,ACH,"2019-02-23 22:22:29","Sale Complete"
