ID,NAME,MODEL,COLORWAY,STYLE,SIZE,PRICE,SELLER RETURN,DATE IN,DATE SOLD,LOCATION,CONDITION
3234820,yeezy 500,yeezy 500,sumoye/sumoye/sumoye,db2966,10.5,$315.00,$259.88,06/15/2019,09/08/2019,NY,New
3235226,yeezy 500,yeezy 500,utiblk/utiblk/utiblk,f36640,14,$390.00,$321.75,06/15/2019,09/06/2019,NY,New
3368276,yeezy boost 350 v2 kids,yeezy boost 350 v2 kids,clay/clay/clay,eg6872,1.5,$240.00,$198.00,08/03/2019,09/05/2019,NY,New
2599817,slip-on cap lx bla,slip-on cap lx bla,black/true white,vn0a3tks6bt,10,$145.00,$119.62,09/22/2018,08/27/2019,NY,New
3368240,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,4,$365.00,$301.12,08/03/2019,08/24/2019,NY,New
2992993,air force 1 '07,air force 1 '07,white/white-game royal,bq8448 100,11.5,$265.00,$218.62,03/14/2019,08/23/2019,FW,New
2599805,air jordan 3 jth nrg,air jordan 3 jth nrg,bio beige/bio beige,av6683 200,8.5,$295.00,$243.38,09/22/2018,08/23/2019,FO,New
2992996,air force 1 '07,air force 1 '07,white/white-game royal,bq8448 100,11.5,$265.00,$218.62,03/14/2019,08/22/2019,FW,New
3061782,nike air max susan,nike air max susan,Sail/Alabaster/Cosmic Bonsa,CK6643 100,9,$325.00,$268.12,04/09/2019,08/21/2019,NY,New
2799504,air jordan 10 retro,air jordan 10 retro,white/black-royal blue,310805 108,12.5,$250.00,$206.25,12/23/2018,08/20/2019,FW,New
3056582,air jordan 1 retro high og,air jordan 1 retro high og,neutral grey/black,555088 018,8.5,$245.00,$202.12,04/06/2019,08/19/2019,FW,New
3368243,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,5,$400.00,$330.00,08/03/2019,08/17/2019,NY,New
2599831,react element 87/undercover,react element 87/undercover,volt/varsity red-black,bq2718 700,7.5,$395.00,$325.88,09/22/2018,08/17/2019,MIA,New
3056583,air jordan 1 retro high og,air jordan 1 retro high og,neutral grey/black,555088 018,8.5,$245.00,$202.12,04/06/2019,08/16/2019,FW,New
3235225,yeezy 500,yeezy 500,utiblk/utiblk/utiblk,f36640,14,$390.00,$321.75,06/15/2019,08/15/2019,NY,New
3368226,Air Jordan 1 Mid SE,Air Jordan 1 Mid SE,Black/Black-Tour Yellow-White,852542 071,7.5,$230.00,$189.75,08/03/2019,08/15/2019,NY,New
3255746,Air Jordan 11 Golf 'Safari Bred',Air Jordan 11 Golf 'Safari Bred',Black/University Red-Black,AQ0963 001,9,$725.00,$598.12,06/23/2019,08/12/2019,NY,New
3368246,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,5.5,$405.00,$334.12,08/03/2019,08/12/2019,NY,New
3368230,air jordan 1 mid se,air jordan 1 mid se,black/black-tour yellow-white,852542 071,8,$180.00,$148.50,08/03/2019,08/12/2019,NY,New
3368241,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,4,$365.00,$301.12,08/03/2019,08/11/2019,NY,New
3368229,air jordan 1 mid se,air jordan 1 mid se,black/black-tour yellow-white,852542 071,8,$180.00,$148.50,08/03/2019,08/11/2019,NY,New
3368244,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,5.5,$405.00,$334.12,08/03/2019,08/10/2019,NY,New
3235262,yeezy boost 700,yeezy boost 700,inerti/inerti/inerti,eg7597,4.5,$385.00,$317.62,06/15/2019,08/09/2019,NY,New
3368242,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,4.5,$360.00,$297.00,08/03/2019,08/09/2019,NY,New
3368250,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,6.5,$380.00,$313.50,08/03/2019,08/08/2019,NY,New
3368251,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,7,$380.00,$313.50,08/03/2019,08/07/2019,NY,New
3368238,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,4,$365.00,$301.12,08/03/2019,08/06/2019,NY,New
2499177,pw hu holi nmd mc,pw hu holi nmd mc,purple/green/pink,ac7034,9.5,$280.00,$231.00,07/14/2018,08/06/2019,FO,New
3368286,yeezy boost 700 v2,yeezy boost 700 v2,tephra/tephra/tephra,fu7914,5.5,$495.00,$408.38,08/03/2019,08/06/2019,NY,New
3368255,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,9,$360.00,$297.00,08/03/2019,08/06/2019,NY,New
3368290,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,8.5,$330.00,$272.25,08/03/2019,08/06/2019,NY,New
3368291,yeezy boost 700,yeezy boost 700,mgsogr/cwhite/cblack,b75571,8.5,$460.00,$379.50,08/03/2019,08/06/2019,NY,New
3368287,yeezy boost 350 v2,yeezy boost 350 v2,black/black/black,fu9006,8,$565.00,$466.12,08/03/2019,08/06/2019,NY,New
3235229,yeezy boost 700,yeezy boost 700,inerti/inerti/inerti,eg7597,4.5,$385.00,$317.62,06/15/2019,08/05/2019,NY,New
3368257,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,9,$360.00,$297.00,08/03/2019,08/05/2019,NY,New
3368256,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,9,$360.00,$297.00,08/03/2019,08/05/2019,NY,New
3368289,yeezy boost 350 v2,yeezy boost 350 v2,black/black/black,fu9006,9,$625.00,$515.62,08/03/2019,08/05/2019,NY,New
3235280,yeezy boost 350 v2,yeezy boost 350 v2,hypers/hypers/hypers,eg7491,9,$560.00,$462.00,06/15/2019,08/05/2019,NY,New
3368292,yeezy boost 700,yeezy boost 700,mgsogr/cwhite/cblack,b75571,9,$495.00,$408.38,08/03/2019,08/05/2019,NY,New
3368239,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,4,$365.00,$301.12,08/03/2019,08/05/2019,NY,New
3368252,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,7.5,$365.00,$301.12,08/03/2019,08/05/2019,NY,New
3368288,yeezy boost 350 v2,yeezy boost 350 v2,black/black/black,fu9006,9,$625.00,$515.62,08/03/2019,08/05/2019,NY,New
3368282,yeezy boost 350 v2,yeezy boost 350 v2,clay/clay/clay,eg7490,4,$400.00,$330.00,08/03/2019,08/04/2019,NY,New
3368253,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,8,$345.00,$284.62,08/03/2019,08/04/2019,NY,New
3056538,yeezy boost 700,yeezy boost 700,mauve/mauve/mauve,ee9614,12.5,$370.00,$305.25,04/06/2019,08/04/2019,NY,New
3235258,yeezy boost 700,yeezy boost 700,salt/salt/salt,eg7487,11,$310.00,$255.75,06/15/2019,08/04/2019,NY,New
3368245,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,5.5,$405.00,$334.12,08/03/2019,08/04/2019,NY,New
3368254,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,8,$345.00,$284.62,08/03/2019,08/04/2019,NY,New
3235277,yeezy boost 350 v2,yeezy boost 350 v2,hypers/hypers/hypers,eg7491,9,$560.00,$462.00,06/15/2019,08/03/2019,NY,New
3235282,yeezy boost 350 v2,yeezy boost 350 v2,hypers/hypers/hypers,eg7491,9,$560.00,$462.00,06/15/2019,08/02/2019,NY,New
3025568,air foamposite one mt qs,air foamposite one mt qs,racer blue/white-black,bv8161 400,7.5,$400.00,$330.00,03/27/2019,08/01/2019,NY,New
3235268,yeezy boost 350 v2,yeezy boost 350 v2,trfrm/trfrm/trfrm,eg7492,4,$500.00,$412.50,06/15/2019,08/01/2019,NY,New
2799518,nike sb dunk low pro og qs,nike sb dunk low pro og qs,voltage purple/voltage purple,bv1310 555a,10.5,$475.00,$391.88,12/23/2018,08/01/2019,FW,New
3235267,yeezy boost 350 v2,yeezy boost 350 v2,trfrm/trfrm/trfrm,eg7492,6.5,$575.00,$474.38,06/15/2019,07/29/2019,NY,New
3056536,yeezy boost 700,yeezy boost 700,mauve/mauve/mauve,ee9614,12.5,$370.00,$305.25,04/06/2019,07/25/2019,NY,New
3235251,yeezy boost 700,yeezy boost 700,salt/salt/salt,eg7487,11,$310.00,$255.75,06/15/2019,07/25/2019,NY,New
3255741,eqt support mid adv pk,eqt support mid adv pk,cgreen/cblack/bogold,d97056,11,$275.00,$226.88,06/23/2019,07/25/2019,NY,New
2599772,Size? x Old Skool,Size? x Old Skool,Multi/Multi,VN0A38G1RFP,10,$570.00,$470.25,09/22/2018,07/24/2019,FW,New
2679164,the 10: nike blazer mid,the 10: nike blazer mid,wolf grey/cool grey-pure platinum-volt,aa3832 002,14,$970.00,$800.25,11/10/2018,07/23/2019,NY,New
2992998,air force 1 '07,air force 1 '07,white/white-game royal,bq8448 100,6,$380.00,$313.50,03/14/2019,07/22/2019,FW,New
