Serial Number,,Product,Product Name,Manufacturing Item Number,Colorway,Nickname,Size,Consign Status,Paid Out Status,Original Price,Commission Amount,Payout Amount,Intake Date,Sold Date,Receipt Number,Sales Doc
1810530436,,21884,React Element 87,AQ1090 005,BLACK/MIDNIGHT NAVY, ,60,Sold-POS,Paid Out,$275.00,$55.00,$220.00,10/11/2018,10/21/2018,RECSGD076803,DIR117977
1901644545,,21705,Yeezy Boost 350 V2,EF2905,STATIC/STATIC/STATIC,Static - Non-reflective,90,Sold-POS,Paid Out,$340.00,$68.00,$272.00,1/26/2019,1/30/2019,RECSGD087541,DIR124281
1901644546,,21705,Yeezy Boost 350 V2,EF2905,STATIC/STATIC/STATIC,Static - Non-reflective,100,Sold-POS,Paid Out,$340.00,$68.00,$272.00,1/26/2019,2/1/2019,RECSGD087541,DIR124379
1812599083,,21715,Chuck 70 Off White Hi,163862C,WHITE/CONE/BLACK, ,45,Sold-POS,Paid Out,$429.00,$85.80,$343.20,12/16/2018,2/13/2019,RECSGD083229,DIR125030
1902653111,,24189,WMNS Air Jordan 1 High OG NRG,BV2613 600,BORDEAUX/LT ARMORY BLUE,Aleali May - Court Lux,90,Sold-POS,Paid Out,$260.00,$52.00,$208.00,2/2/2019,2/13/2019,RECSGD088113,DIR124995
1902653110,,24189,WMNS Air Jordan 1 High OG NRG,BV2613 600,BORDEAUX/LT ARMORY BLUE,Aleali May - Court Lux,80,Sold-POS,Paid Out,$250.00,$50.00,$200.00,2/2/2019,2/28/2019,RECSGD088113,DIR125989
1812578854,,11948,Air Force 1 Low,AQ4211 100,WHITE/WHITE-WHITE,Travis Scott,105,Sold-POS,Paid Out,$749.00,$149.80,$599.20,12/1/2018,4/11/2019,RECSGD081498,DIR128850
1810532220,,20967,Air Jordan 1 Retro (GS),575441 501,COURT PURPLE/BLACK-SAIL,Court Purple,65,Sold-Web,Paid Out,$325.00,$65.00,$260.00,10/15/2018,10/23/2018,RECSGD077043,SHPCAP340558; SIN217312
1810532222,,17044,Thunder Spectra,367516 01,PUMA BLK-PUMA BLK-PUMA WHITE, ,90,Sold-Web,Paid Out,$175.00,$35.00,$140.00,10/15/2018,10/29/2018,RECSGD077043,SHPCAP347427; SIN220450
1810532221,,21043,Solar HU Glide M,BB8041,BLACK, ,80,Sold-Web,Paid Out,$325.00,$65.00,$260.00,11/8/2018,11/14/2018,RECSGD077043,SHPCAP361702; SIN229344
1810532223,,17802,AW Reissue Run,AQ1233,SOLRED/CBLACK/BGREEN, ,95,Sold-Web,Paid Out,$300.00,$60.00,$240.00,12/3/2018,12/9/2018,RECSGD077043,SHPCAP389422; SIN249928
1812578851,,22396,Air Jordan 1 Retro High OG,555088 700,GOLDEN HARVEST/BLACK-SAIL,Rookie of the Year,90,Sold-Web,Paid Out,$310.00,$62.00,$248.00,12/3/2018,12/17/2018,RECSGD081498,SHPCAP391008; SIN257848
1812578853,,22396,Air Jordan 1 Retro High OG,555088 700,GOLDEN HARVEST/BLACK-SAIL,Rookie of the Year,120,Sold-Web,Paid Out,$260.00,$52.00,$208.00,12/2/2018,12/22/2018,RECSGD081498,SHPCAP411602; SIN262000
1812578849,,22396,Air Jordan 1 Retro High OG,555088 700,GOLDEN HARVEST/BLACK-SAIL,Rookie of the Year,90,Sold-Web,Paid Out,$310.00,$62.00,$248.00,12/4/2018,12/23/2018,RECSGD081498,SHPCAP400182; SIN263711
1812578852,,22396,Air Jordan 1 Retro High OG,555088 700,GOLDEN HARVEST/BLACK-SAIL,Rookie of the Year,105,Sold-Web,Paid Out,$230.00,$46.00,$184.00,1/2/2019,1/9/2019,RECSGD081498,SHPCAP446920; SIN277340
