PURCHASE DATE,SOLD DATE,PURCHASE PRICE,TOTAL AFTER FEES,PROFIT,RETURN,MARKET,NAME,SIZE,SKU,ORDERNUM,SOLDPRICE
Nov 1 2017,Aug 16 2019,$300.00,$352.47,$52.47,17.49%,GOAT,YEEZY BOOST 700 'WAVE RUNNER',6,N/A,N/A,$402.00
Nov 11 2017,Feb 21 2018,$250.00,$334.37,$84.37,33.75%,GOAT,PHARRELL X NMD TRAIL 'HUMAN RACE',12.5,N/A,N/A,$382.00
Feb 16 2018,Mar 14 2018,$255.00,$166.95,-$88.05,-34.53%,GOAT,KITH X LEBRON PERFORMANCE 15 'SUIT OF ARMOR',7.5,N/A,N/A,$191.00
Mar 6 2018,Jul 11 2018,$100.00,$221.25,$21.25,10.63%,GOAT,ULTRABOOST 4.0 LIMITED 'COOKIES AND CREAM,11,N/A,N/A,$253.00
Mar 6 2018,Jul 9 2018,$100.00,$203.15,$3.15,1.57%,GOAT,ULTRABOOST 4.0 LIMITED 'COOKIES AND CREAM',12,N/A,N/A,$232.00
Mar 6 2018,Jul 8 2018,$100.00,$243.87,$43.87,21.93%,GOAT,ULTRABOOST 4.0 LIMITED 'COOKIES AND CREAM',12,N/A,N/A,$278.00
Mar 6 2018,Jul 5 2018,$100.00,$239.35,$39.35,19.68%,GOAT,ULTRABOOST 4.0 LIMITED 'COOKIES AND CREAM,12,N/A,N/A,$273.00
Mar 6 2018,Jul 9 2018,$100.00,$239.35,$39.35,19.68%,GOAT,ULTRABOOST 4.0 LIMITED 'COOKIES AND CREAM',12,N/A,N/A,$273.00
Mar 6 2018,Jul 9 2018,$100.00,$221.25,$21.25,10.63%,GOAT,ULTRABOOST 4.0 LIMITED 'COOKIES AND CREAM',11,N/A,N/A,$253.00
Mar 31 2018,Jul 13 2018,$100.00,$148.85,-$31.15,-17.31%,GOAT,ULTRABOOST 4.0 'CHALK,10.5,N/A,N/A,$170.00
Mar 31 2018,Jul 25 2018,$100.00,$139.80,-$40.20,-22.33%,GOAT,ULTRABOOST 4.0 'CHALK',9.5,N/A,N/A,$160.00
Jun 30 2018,Nov 8 2018,$220.00,$203.15,-$16.85,-7.66%,GOAT,YEEZY BOOST 350 V2 'BUTTER',8.5,N/A,N/A,$232.00
Jun 30 2018,Nov 9 2018,$220.00,$207.67,-$12.33,-5.60%,GOAT,YEEZY BOOST 350 V2 'BUTTER',9,N/A,N/A,$237.00
Jun 30 2018,Nov 22 2018,$220.00,$207.67,-$12.33,-5.60%,GOAT,YEEZY BOOST 350 V2 'BUTTER',9,N/A,N/A,$237.00
Jun 30 2018,Sep 20 2018,$220.00,$248.40,$28.40,12.91%,GOAT,YEEZY BOOST 350 V2 'BUTTER',5,N/A,N/A,$284.00
Jun 30 2018,Nov 22 2018,$220.00,$207.67,-$12.33,-5.60%,GOAT,YEEZY BOOST 350 V2 'BUTTER',9,N/A,N/A,$237.00
Jun 30 2018,Nov 11 2018,$220.00,$203.15,-$16.85,-7.66%,GOAT,YEEZY BOOST 350 V2 'BUTTER',8.5,N/A,N/A,$232.00
Jun 30 2018,Nov 7 2018,$220.00,$203.15,-$16.85,-7.66%,GOAT,YEEZY BOOST 350 V2 'BUTTER',8.5,N/A,N/A,$232.00
Jun 30 2018,Sep 21 2018,$220.00,$248.40,$28.40,12.91%,GOAT,YEEZY BOOST 350 V2 'BUTTER',5,N/A,N/A,$284.00
Jun 30 2018,Sep 11 2018,$220.00,$239.35,$19.35,8.80%,GOAT,YEEZY BOOST 350 V2 'BUTTER',8,N/A,N/A,$273.00
Jun 30 2018,Sep 20 2018,$220.00,$248.40,$28.40,12.91%,GOAT,YEEZY BOOST 350 V2 'BUTTER',5,N/A,N/A,$284.00
Jun 30 2018,Aug 2 2018,$220.00,$243.87,$23.87,10.85%,GOAT,YEEZY BOOST 350 V2 'BUTTER',7,N/A,N/A,$278.00
Jun 30 2018,Sep 16 2018,$220.00,$239.35,$19.35,8.80%,GOAT,YEEZY BOOST 350 V2 'BUTTER',4,N/A,N/A,$273.00
Jun 30 2018,Sep 16 2018,$220.00,$266.50,$46.50,21.14%,GOAT,YEEZY BOOST 350 V2 'BUTTER',5.5,N/A,N/A,$304.00
Jun 30 2018,Sep 21 2018,$220.00,$248.40,$28.40,12.91%,GOAT,YEEZY BOOST 350 V2 'BUTTER',5,N/A,N/A,$284.00
Jun 30 2018,Nov 8 2018,$220.00,$248.40,$28.40,12.91%,GOAT,YEEZY BOOST 350 V2 'BUTTER',8.5,N/A,N/A,$284.00
Jun 30 2018,Aug 3 2018,$220.00,$252.92,$32.92,14.96%,GOAT,YEEZY BOOST 350 V2 'BUTTER',13,N/A,N/A,$289.00
Jun 30 2018,Sep 20 2018,$220.00,$248.40,$28.40,12.91%,GOAT,YEEZY BOOST 350 V2 'BUTTER',5,N/A,N/A,$284.00
Jun 30 2018,Aug 30 2018,$220.00,$248.40,$28.40,12.91%,GOAT,YEEZY BOOST 350 V2 'BUTTER',8.5,N/A,N/A,$284.00
