Date,Item,Size,Cost,Selling Price,Platform,Shipping,Base Fee,Cashout Fee,Total Fee,Total After Fees,Gross Income,Profit,,January
,,,,,Cash/Gift,$0.00,0.0%,,, ,,,,2019
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,bob,,,,eBay,$0.00,12.9%,,$0.00, ,$0.00,$0.00,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,bob,,,,eBay,$0.00,12.9%,,$0.00, ,$0.00,$0.00,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
,,,,,eBay,$0.00,12.9%,,, ,,,,
